french,portuguese
abaisser,abaixar
abandonner,abandonar
abasourdir,atordoar
abdiquer,abdicar
abîmer,danificar
abolir,abolir
abonder,abundar
aborder,abordar
aboutir,alcançar
aboyer,latir
abréger,abreviar
abriter,abrigar
absorber,absorver
abuser,abusar
accéder,acessar
accélérer,acelerar
accentuer,acentuar
accepter,aceitar
acclamer,torcer
accommoder,acomodar
accompagner,acompanhar
accomplir,realizar
accorder,conceder
accoter,acote
accoupler,companheiro
accoutumer,habituar
accréditer,credenciar
accrocher,pendurar
accumuler,acumular
accuser,acusar
acheminer,transmitir
acheter,comprar
achever,completo
acquiescer,aquiescer
acquitter,absolver
activer,ativar
s'activer,ativar
actualiser,atualizar
adapter,adaptar
s'adapter,adaptar
additionner,adicionar
adhérer,aderir
administrer,administrar
admirer,admirar
admonester,admoestar
adopter,adotar
adorer,adorar
adoucir,suavizar
adresser,endereçar
aduler,adular
aérer,arejar
affaiblir,enfraquecer
affecter,afetar
affiler,aguçar
affilier,afiliar
affiner,refinar
affirmer,afirmar
affliger,afligir
affranchir,libertar
affronter,confrontar
agacer,irritar
s'agenouiller,ajoelhar
aggraver,agravar
agir,agir
agiter,agitar
agrafer,grampear
agrandir,ampliar
agréer,concordar
agréger,agregar
agresser,atacar
aider,ajuda
aiguiser,aguçar
aimer,amar
ajourner,adiar
ajouter,adicionar
ajuster,ajustar
alarmer,alarmar
alerter,alertar
aliéner,alienar
aligner,alinhar
allaiter,amamentar
alléger,iluminar
alléguer,alegar
allitérer,aliterar
allonger,alongar
allumer,iluminar
alphabétiser,alfabetizar
altérer,alterar
alterner,alternar
amadouer,persuadir
amarrer,atracar
améliorer,melhorar
aménager,organizar
amender,alterar
amener,trazer
améniser,melhorar
ameuter,para ameuter
amplifier,amplificar
amputer,amputar
amuser,divertir
s'amuser,se divertir
analyser,analisar
ancrer,âncora
anesthésier,anestesiar
angoisser,se preocupar
animer,animar
annexer,anexar
annoncer,anunciar
annoter,anotar
annuler,cancelar
anticiper,antecipar
apaiser,acalmar
aplanir,achatar
appareiller,emparelhar
appauvrir,empobrecer
appeler,chamar
s'appeler,chamar
appendre,acrescentar
applaudir,aplaudir
appliquer,aplicar
apporter,trazer
apprécier,apreciar
approcher,abordar
s'approcher,aproximar
approfondir,aprofundar
approuver,aprovar
appuyer,apoiar
arbitrer,arbitrar
archiver,arquivo de verbos
arguer,argumentar
argumenter,argumentar
armer,armar
arquer,arquear
arracher,rasgar
arranger,organizar
arrêter,parar
s'arrêter,parar
arriver,chegar
arroser,regar
articuler,articular
asphyxier,asfixiar
aspirer,aspirar
assaisonner,temperar
assassiner,assassinar
assembler,montar
s'assembler,montar
assigner,atribuir
assimiler,assimilar
assister,auxiliar
associer,associar
assombrir,escurecer
assortir,combinar
assoupir,cochilar
assouplir,suavizar
assourdir,ensurdecer
assujettir,sujeitar
assumer,assumir
assurer,garantir
attacher,anexar
attaquer,atacar
s'attarder,permanecer
attendre,esperar
atténuer,atenuar
atterrir,pousar
attirer,atrair
s'attirer,atrair
attraper,pegar
attribuer,atribuir
attrister,entristecer
augmenter,aumentar
authentifier,autenticar
automatiser,automatizar
autoriser,autorizar
avaler,engolir
avaliser,endossar
avancer,avançar
avantager,tirar vantagem
s'avarier,deteriorar
aventurer,aventurar
s'aventurer,aventurar-se
avertir,avisar
aveugler,cegar
aviser,aconselhar
aviver,animar
avorter,abortar
avouer,confessar
babiller,balbuciar
